REGION,CÓDIGO DANE DEL DEPARTAMENTO,departamento,codigo_municipio,nombre_municipio_x,vote_share_2002_r1_alvaro_uribe,vote_share_2002_r1_horacio_serpa,vote_share_2006_r1_alvaro_uribe,vote_share_2006_r1_carlos_gaviria,vote_share_2010_r1_gustavo_petro,vote_share_2010_r1_juan_manuel_santos,vote_share_2014_r1_clara_lopez,vote_share_2014_r1_oscar_ivan_zuluaga,vote_share_2018_r1_gustavo_petro,vote_share_2018_r1_ivan_duque,vote_share_2022_r1_blanco,vote_share_2022_r1_federico_gutierrez,vote_share_2022_r1_gustavo_petro,vote_share_2022_r1_no_marcados,vote_share_2022_r1_nulos,vote_share_2022_r1_rest,vote_share_2022_r1_rodolfo_hernandez,vote_share_2022_r1_sergio_fajardo,vote_share_2022_r2_blanco,vote_share_2022_r2_gustavo_petro,vote_share_2022_r2_no_marcados,vote_share_2022_r2_nulos,vote_share_2022_r2_rodolfo_hernandez,nombre_municipio_y,poblacion_total,poblacion_afrocolombiana,poblacion_indigena,poblacion_rural_dispersa,anos_escolaridad,hogares_con_internet,hogares_totales,pct_afro_colombian,pct_indigenous,pct_rural_disperso,years_schooling,internet_access_rate,ipm_score,nbi_rate,proyeccion_2022,population_2022,risk_level,is_pdet,coca_hectares,armed_group_presence,high_risk_flag
Región Centro Oriente,68,Santander,68013,Aguada,0.95,0.0603,0.95,0.0425,0.0412,0.95,0.0288,0.8152,0.0797,0.95,0.0046349942062572,0.1274623406720741,0.0764774044032444,0.0011587485515643,0.0023174971031286,0.0057937427578215,0.7740440324449595,0.0081112398609501,0.0117521367521367,0.1025641025641025,,0.0042735042735042,0.8814102564102564,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,17,Caldas,17013,Aguadas,0.7023,0.0878,0.8242,0.0618,0.0599,0.6215,0.042,0.3936,0.1159,0.5168,0.0145338208409506,0.4140767824497258,0.1112431444241316,0.0043875685557586,0.0225776965265082,0.0140767824497257,0.3736745886654479,0.0454296160877513,0.0194417194328012,0.1719432801212878,0.0025862837777579,0.0211361812182288,0.7848925354499242,,,,,,,,,,,,,,,,,,,,,,
Región Llano,85,Casanare,85010,Aguazul,0.95,0.1761,0.95,0.1241,0.1202,0.95,0.0842,0.7009,0.2326,0.9204,0.0108079029733959,0.060348200312989,0.2232003129890453,0.000635758998435,0.0115414710485133,0.0148180751173708,0.6654929577464789,0.0131553208137715,0.0180789334867884,0.2972713758212247,0.0006713662302786,0.0158250611422816,0.6681532633194265,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,20,Cesar,20013,Agustín Codazzi,0.4455,0.3807,0.5229,0.2682,0.2598,0.3943,0.182,0.2497,0.5029,0.3279,0.0116375365035086,0.1970971538159787,0.4825001089656976,0.0012640020921413,0.0136860916183585,0.0279388048642287,0.2370657716950704,0.0288105304450159,0.0134075584130468,0.5896581464638545,0.0009016779049709,0.0131331347028383,0.3828994825152893,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,41,Huila,41016,Aipe,0.95,0.2059,0.95,0.145,0.1405,0.8588,0.0984,0.5438,0.2719,0.7141,0.0095355620372447,0.1789320170518286,0.2609378505721337,0.0011218308279111,0.0083015481265425,0.0089746466232892,0.5163787300875028,0.0158178146735472,0.0108406844510574,0.329152938675736,0.0006376873206504,0.0081836539483473,0.6511850356042087,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25019,Albán,0.95,0.1693,0.95,0.1192,0.1155,0.95,0.0809,0.6077,0.2236,0.798,0.0112071725904578,0.1460134486071085,0.2145373038744796,0.0003202049311559,0.0118475824527697,0.0070445084854306,0.5770092859430035,0.0320204931155939,0.0177271288382399,0.2896486229819563,0.0003165558721114,0.0151946818613485,0.6771130104463438,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,52,Nariño,52019,Albán,0.6066,0.3103,0.7119,0.2186,0.2117,0.5368,0.1483,0.3399,0.4098,0.4464,0.0183647798742138,0.2284276729559748,0.3932075471698113,0.0037735849056603,0.0098113207547169,0.0042767295597484,0.3227672955974843,0.0193710691823899,0.0232870577698163,0.5103000447828034,0.0022391401701746,0.0138826690550828,0.4502910882221227,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,18,Caquetá,18029,Albania,0.95,0.1487,0.95,0.1047,0.1015,0.937,0.0711,0.5934,0.1964,0.7792,0.0194444444444444,0.1986111111111111,0.1884259259259259,0.0013888888888888,0.0064814814814814,0.011574074074074,0.5634259259259259,0.0106481481481481,0.0175879396984924,0.245393634840871,0.0020938023450586,0.0108877721943048,0.724036850921273,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,44,La Guajira,44035,Albania,0.1964,0.5607,0.2305,0.395,0.3826,0.1738,0.268,0.1101,0.7406,0.1446,0.0107690358545546,0.121626757886735,0.7106296718611428,0.0011402508551881,0.011275814012416,0.0241986570378816,0.1045229950589129,0.0158368174331686,0.0124959252417689,0.7953928066934696,0.0003259806584809,0.0113006628273389,0.1804846245789416,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68020,Albania,0.95,0.1208,0.95,0.0851,0.0824,0.95,0.0578,0.7707,0.1596,0.95,0.0058078141499472,0.0897571277719113,0.1531151003167898,0.0005279831045406,0.0036958817317845,0.0047518479408658,0.7317845828933475,0.010559662090813,0.005859375,0.197265625,0.00390625,0.0068359375,0.7861328125,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76020,Alcalá,0.6652,0.2517,0.7806,0.1773,0.1718,0.5886,0.1203,0.3727,0.3325,0.4895,0.019432502149613,0.257609630266552,0.3190025795356835,0.0039552880481513,0.0199484092863284,0.0061908856405846,0.3539122957867583,0.0199484092863284,0.0208504350681333,0.4207847644065014,0.0019701198489574,0.0201937284518141,0.5362009522245936,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,52,Nariño,52022,Aldana,0.3554,0.5204,0.4171,0.3666,0.3551,0.3145,0.2488,0.1992,0.6874,0.2615,0.0270971461516287,0.0789852983568751,0.6595560680311329,0.0034592101470164,0.016431248198328,0.0098010954165465,0.1891034880368982,0.0155664456615739,0.0185352622061482,0.7719258589511754,0.0013562386980108,0.0144665461121157,0.1937160940325497,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05021,Alejandría,0.3172,0.0908,0.3723,0.064,0.062,0.2807,0.0434,0.1778,0.1199,0.2334,0.0143824027072758,0.6349407783417935,0.1150592216582064,0.0025380710659898,0.0076142131979695,0.0050761421319796,0.1687817258883248,0.0516074450084602,0.0219422998780983,0.1629418935392117,0.0008126777732629,0.0073140999593661,0.806989028850061,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,47,Magdalena,47030,Algarrobo,0.1604,0.5515,0.1883,0.3885,0.3764,0.142,0.2636,0.0899,0.7285,0.118,0.0109430959013131,0.1732988460007958,0.6989653800238759,0.0025865499403103,0.0069637883008356,0.0115399920413847,0.0853561480302427,0.0103461997612415,0.0127518018850489,0.7625207909813343,0.0005544261689151,0.0048050267972648,0.2193679541674367,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,41,Huila,41020,Algeciras,0.8408,0.2595,0.95,0.1828,0.1771,0.7441,0.124,0.4712,0.3427,0.6187,0.0140523660821522,0.1275522459764592,0.3288493874609656,0.0027624309392265,0.013451837617103,0.0522459764592841,0.4473937064616863,0.0136920490031227,0.0161868549701249,0.3986963606735469,0.0022813688212927,0.0104291146116241,0.5724063009234112,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,19,Cauca,19022,Almaguer,0.044,0.7123,0.0517,0.5018,0.4861,0.039,0.3405,0.0247,0.9408,0.0324,0.0079159935379644,0.0424878836833602,0.902746365105008,0.0032310177705977,0.0093699515347334,0.0050080775444264,0.0234248788368336,0.0058158319870759,0.0064390718017251,0.9364597254282592,0.0024298384157453,0.0063175798809379,0.0483537844733325,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,15,Boyacá,15022,Almeida,0.95,0.1594,0.95,0.1123,0.1088,0.95,0.0762,0.6277,0.2105,0.8243,0.0099009900990099,0.1099009900990099,0.201980198019802,0.0059405940594059,0.0168316831683168,0.0039603960396039,0.596039603960396,0.0554455445544554,0.0161596958174904,0.2918250950570342,0.0019011406844106,0.0133079847908745,0.6768060836501901,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73024,Alpujarra,0.8766,0.1297,0.95,0.0913,0.0885,0.7757,0.062,0.4912,0.1713,0.6451,0.0135270541082164,0.3166332665330661,0.1643286573146292,0.002004008016032,0.0085170340681362,0.0100200400801603,0.4664328657314629,0.0185370741482965,0.0120593692022263,0.2040816326530612,0.0009276437847866,0.0162337662337662,0.7666975881261595,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,41,Huila,41026,Altamira,0.7256,0.317,0.8515,0.2233,0.2163,0.6421,0.1515,0.4066,0.4187,0.5339,0.0167627029858564,0.1597695128339444,0.4017810371922472,0.003143006809848,0.0057621791513881,0.0110005238344683,0.3860660031430068,0.0157150340492404,0.0158653846153846,0.4745192307692307,0.0004807692307692,0.0115384615384615,0.4975961538461538,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,27,Chocó,27025,Alto Baudo,0.0258,0.7454,0.0303,0.5251,0.5087,0.0228,0.3563,0.0145,0.95,0.019,0.0047160139429977,0.0233750256305105,0.944638097190896,0.0028706171826942,0.0014353085913471,0.0020504408447816,0.0137379536600369,0.0071765429567356,0.0028363765289842,0.9663180287183124,0.0001772735330615,0.0015954617975536,0.0290728594220882,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,13,Bolívar,13030,Altos del Rosario,0.5575,0.254,0.6543,0.1789,0.1733,0.4934,0.1214,0.3124,0.3355,0.4103,0.0106508875739644,0.3065088757396449,0.3218934911242603,0.0023668639053254,0.0063116370808678,0.0343195266272189,0.2966469428007889,0.0213017751479289,0.0074028377544725,0.3723010487353485,0.0027760641579272,0.0046267735965453,0.6128932757557064,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73026,Alvarado,0.8483,0.2341,0.95,0.1649,0.1598,0.7506,0.1119,0.4754,0.3092,0.6242,0.0130858910302165,0.19747799191054,0.2966928384487271,0.0033309540804187,0.0149892933618843,0.0080894599095883,0.4513442778967404,0.0149892933618843,0.0119658119658119,0.3572649572649573,0.0021367521367521,0.0126068376068376,0.6160256410256411,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05030,Amagá,0.5641,0.1529,0.662,0.1077,0.1044,0.4992,0.0731,0.3161,0.202,0.4151,0.0215912954777286,0.4149098945936756,0.1938116286977218,0.0028051683100986,0.0173410404624277,0.0072254335260115,0.3001530091805508,0.0421625297517851,0.0252994889838317,0.2744408142749434,0.001926782273603,0.0196866884476836,0.678646226019938,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05031,Amalfi,0.5852,0.1136,0.6868,0.08,0.0775,0.5178,0.0543,0.3279,0.15,0.4306,0.0322215025906735,0.4258419689119171,0.1439443005181347,0.0040479274611398,0.0157059585492227,0.0110103626943005,0.3113665803108808,0.0558613989637305,0.0323586165949235,0.205135817129286,0.0025233783583197,0.013655929939142,0.7463262579783286,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73030,Ambalema,0.7541,0.2598,0.885,0.183,0.1773,0.6673,0.1242,0.4226,0.3431,0.5549,0.0084498834498834,0.2258158508158508,0.3292540792540792,0.0005827505827505,0.0174825174825174,0.0055361305361305,0.4012237762237762,0.0116550116550116,0.0083378160301237,0.4031737493275955,0.0013448090371167,0.0185583647122108,0.5685852608929532,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25035,Anapoima,0.95,0.1718,0.95,0.121,0.1172,0.8543,0.0821,0.541,0.2269,0.7104,0.0104912367316711,0.2019254505060478,0.2177240187607998,0.0003702789434707,0.0071587262404344,0.0171562577141446,0.5137003209084177,0.0314737101950135,0.0148279952550415,0.2779359430604982,0.0010676156583629,0.0080664294187425,0.6981020166073547,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,52,Nariño,52036,Ancuyá,0.1552,0.6099,0.1821,0.4296,0.4162,0.1373,0.2915,0.087,0.8055,0.1142,0.0154114568188426,0.0947949985460889,0.7728990985751673,0.0011631288165164,0.0104681593486478,0.0043617330619366,0.0825821459726664,0.0183192788601337,0.0158299412030755,0.8629579375848032,0.0006784260515603,0.0074626865671641,0.1130710085933966,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76036,Andalucía,0.3725,0.4001,0.4371,0.2818,0.273,0.3296,0.1912,0.2087,0.5284,0.2741,0.0176063113334616,0.2178179719068693,0.5070232826630748,0.0006734654608427,0.0198191264190879,0.012892053107562,0.1981912641908793,0.025976524918222,0.0171669962250584,0.610461980945533,0.0006291569297141,0.01869494876865,0.3530469171310444,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05034,Andes,0.4009,0.115,0.4704,0.081,0.0785,0.3547,0.055,0.2246,0.1519,0.295,0.0156079193489614,0.5666221304506255,0.1457548888618972,0.0017004737033888,0.0094740677760233,0.0058909267581683,0.2132879873679096,0.0416616057330256,0.0209814067208733,0.2040711889463808,0.0019901063285381,0.0096093705577983,0.7633479274464092,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05036,Angelópolis,0.4531,0.111,0.5318,0.0782,0.0758,0.401,0.0531,0.2539,0.1466,0.3334,0.0236434108527131,0.5286821705426357,0.1406976744186046,0.0046511627906976,0.0147286821705426,0.0069767441860465,0.2410852713178294,0.0395348837209302,0.0299334811529933,0.2058388765705839,0.0025868440502586,0.016260162601626,0.745380635624538,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05038,Angostura,0.5208,0.081,0.6112,0.0571,0.0553,0.4609,0.0387,0.2919,0.107,0.3833,0.0264357338195077,0.4639927073837739,0.1027043451838347,0.0097234883014281,0.0249164387724096,0.0148890914615618,0.2771194165907019,0.0802187784867821,0.030467899891186,0.1754624591947769,0.0070729053318824,0.0228509249183895,0.764145810663765,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25040,Anolaima,0.95,0.1628,0.95,0.1147,0.1111,0.8625,0.0778,0.5462,0.215,0.7172,0.0146341463414634,0.1948432055749129,0.2062717770034843,0.0008362369337979,0.0097560975609756,0.0200696864111498,0.5186062717770035,0.0349825783972125,0.0230810520665593,0.2801932367149758,0.000805152979066,0.013016639828234,0.6829039184111648,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05040,Anorí,0.658,0.1945,0.7722,0.137,0.1327,0.5822,0.0929,0.3687,0.2568,0.4842,0.0365505425471159,0.2924043403769275,0.2464306110793832,0.0031410622501427,0.0088520845231296,0.0197030268418046,0.3500856653340948,0.0428326670474014,0.0336467095497278,0.3414151410192974,0.0014844136566056,0.0113805047006432,0.6120732310737259,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,17,Caldas,17042,Anserma,0.6653,0.1605,0.7808,0.1131,0.1095,0.5887,0.0767,0.3728,0.212,0.4896,0.0184021543985637,0.3463708643241857,0.2034496024621697,0.0053218774044626,0.0296870992562195,0.0076301615798922,0.3540010259040779,0.0351372146704283,0.0262478485370051,0.3037251044996312,0.0024588148512417,0.0296287189574625,0.6379395131546595,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76041,Ansermanuevo,0.7682,0.1842,0.9016,0.1297,0.1257,0.6798,0.088,0.4305,0.2432,0.5653,0.0175605125771238,0.2936639772187945,0.2333887043189368,0.0029663028001898,0.0153061224489795,0.0090175605125771,0.4087565258661604,0.0193402942572377,0.019175233914751,0.3385699433984059,0.0020792422317199,0.0185976666281621,0.6215779138269608,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05044,Anza,0.6244,0.0762,0.7327,0.0537,0.052,0.5525,0.0364,0.3499,0.1007,0.4594,0.0228813559322033,0.4822033898305085,0.0966101694915254,0.0038135593220338,0.0122881355932203,0.0072033898305084,0.3322033898305084,0.0427966101694915,0.0192442267319804,0.1333100069979006,0.0024492652204338,0.0097970608817354,0.8351994401679497,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73043,Anzoátegui,0.95,0.1488,0.95,0.1048,0.1016,0.95,0.0711,0.6554,0.1966,0.8606,0.0105513057240833,0.1390134529147982,0.1886045898179899,0.0015826958586125,0.0071221313637562,0.0139804800844104,0.6222632550778159,0.0168820891585333,0.0116722248689852,0.233206288708909,0.0016674606955693,0.0071462601238685,0.746307765602668,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05045,Apartadó,0.4227,0.4163,0.4961,0.2932,0.2841,0.3741,0.199,0.2369,0.5498,0.3111,0.0236323674712156,0.1680075817151614,0.5275744560724296,0.002016413606759,0.011070110701107,0.020022987115117,0.2249309378339685,0.0227451454842417,0.0265708270904849,0.6428774631592922,0.0011569025357027,0.0105448821287006,0.3188499250858194,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,66,Risaralda,66045,Apía,0.825,0.1664,0.95,0.1172,0.1135,0.73,0.0795,0.4623,0.2198,0.607,0.0241391551295704,0.2522186723464679,0.2108626198083067,0.002484913028044,0.0248491302804401,0.0126020589279375,0.4389421370252041,0.0339013134540291,0.029466871061148,0.2973939703628002,0.00340657468915,0.0238460228240504,0.6458865610628512,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25599,Apulo,0.95,0.1666,0.95,0.1174,0.1137,0.9437,0.0796,0.5976,0.22,0.7847,0.0093632958801498,0.1645599250936329,0.2111423220973782,0.0021067415730337,0.0084269662921348,0.0098314606741573,0.5674157303370787,0.0271535580524344,0.0128428384849804,0.2766652154984763,0.0013060513713539,0.0069656073138876,0.7022202873313017,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,15,Boyacá,15047,Aquitania,0.95,0.1157,0.95,0.0815,0.079,0.95,0.0553,0.7684,0.1528,0.95,0.010585467851542,0.0700470465237846,0.1466283324621014,0.001437532671197,0.0100627286983795,0.0086251960271824,0.7296131730266597,0.0230005227391531,0.0148681612266233,0.2024625392031595,0.0006969450574979,0.0095249157858055,0.7724474387269137,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,47,Magdalena,47053,Aracataca,0.3197,0.4574,0.3752,0.3222,0.3121,0.2829,0.2186,0.1792,0.6041,0.2353,0.0158982511923688,0.1917831143837335,0.5796167684712576,0.0016735001255125,0.0110451008283825,0.0169860262739519,0.1701112877583465,0.0128859509664463,0.0157737878898015,0.6933197644835356,0.000799592934506,0.0104673984153521,0.2796394562768045,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,17,Caldas,17050,Aranzazu,0.6491,0.0936,0.7618,0.0659,0.0639,0.5744,0.0447,0.3637,0.1236,0.4776,0.018142113220225,0.4204602721316983,0.1185956660507307,0.0050394758945069,0.0199899210482109,0.0095750041995632,0.3453720813035444,0.0628254661515202,0.0204688015846814,0.2033674480026411,0.0026411356883459,0.0211290855067679,0.7523935292175635,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68051,Aratoca,0.95,0.0785,0.95,0.0553,0.0536,0.95,0.0375,0.8363,0.1037,0.95,0.0060106856634016,0.0879341050756901,0.0995102404274265,0.0022261798753339,0.0026714158504007,0.0022261798753339,0.7940783615316117,0.0053428317008014,0.0089602000416753,0.1164826005417795,0.0010418837257762,0.0054177953740362,0.8680975203167327,,,,,,,,,,,,,,,,,,,,,,
Región Llano,81,Arauca,81001,Arauca,0.95,0.1143,0.95,0.0805,0.078,0.95,0.0547,0.6058,0.151,0.7955,0.0160323435103861,0.2139969329429806,0.1449045029973511,0.0014219991635299,0.0097867001254705,0.0139969329429806,0.575212602816116,0.024647985501185,0.0180820064522843,0.1929441148922885,0.0007284837131855,0.0088979082110521,0.7793474867311895,,,,,,,,,,,,,,,,,,,,,,
Región Llano,81,Arauca,81065,Arauquita,0.9247,0.2912,0.95,0.2051,0.1987,0.8182,0.1392,0.5182,0.3845,0.6804,0.0205262044156027,0.0631304225153417,0.3689779219863158,0.0035973760316004,0.0139662834168018,0.02511109543627,0.4919940749100656,0.0126966212880016,0.0205569420727702,0.462038618153159,0.0017076054117956,0.0132667805070274,0.5024300538552476,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25053,Arbeláez,0.8645,0.1786,0.95,0.1258,0.1219,0.765,0.0854,0.4845,0.2358,0.6362,0.0149686141960405,0.2427168839530017,0.2262996941896024,0.0004828585224529,0.0091743119266055,0.0091743119266055,0.4600032190568163,0.0371801062288749,0.0169277013130833,0.2928334124347413,0.0007910140800506,0.0107577914886884,0.6786900806834362,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,52,Nariño,52051,Arboleda,0.4213,0.3933,0.4945,0.277,0.2684,0.3728,0.188,0.2361,0.5194,0.31,0.0232640112795206,0.2033838561861121,0.49841381741276,0.0024673951357067,0.0236164962989072,0.0084596404652802,0.2241804723299259,0.016214310891787,0.0161859917598587,0.6506768687463214,0.0020600353148911,0.0247204237786933,0.3063566804002354,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,54,Norte de Santander,54051,Arboledas,0.95,0.053,0.95,0.0373,0.0362,0.95,0.0253,0.6403,0.07,0.8407,0.006787330316742,0.2968325791855203,0.0671945701357466,0.0018099547511312,0.0049773755656108,0.0036199095022624,0.607918552036199,0.0108597285067873,0.0081829626521191,0.0826689047419219,0.0020981955518254,0.0060847671002937,0.9009651699538396,,,,,,,,,,,,,,,,,,,,,,
